,Course,State,Gender,Mental Health Rating,Family History,Sleep Duration,Counselling Service Usage,Family Structure,First Time Away From Home,"Importance of Prayer,Meditation",Stress Score,Length of Stay,Coping Strategies
87,BBA,Telangana,Female,2,No,4-6 hours,No,Nuclear Family,Yes,1,4,More than 1 year,Listening music
89,BBA,Uttar Pradesh,Female,3,No,4-6 hours,No,Nuclear Family,No,1,4,More than 1 year,Sleeping
91,BA LLB,Rajasthan,Male,1,No,7-8 hours,Yes,Joint Family,No,1,5,More than 2 years,Sleeping
92,BSc DS,Maharashtra,Female,3,No,4-6 hours,No,Nuclear Family,No,1,4,More than 1 year,Sports
93,BSc DS,Uttar Pradesh,Male,4,No,4-6 hours,No,Nuclear Family,No,2,4,More than 1 year,Listening music
95,BBA LLB,Tamil Nadu,Female,3,No,4-6 hours,No,Joint Family,Yes,2,3,More than 1 year,Listening music
96,BBA LLB,West Bengal,Male,1,No,4-6 hours,No,Joint Family,Yes,5,3,More than 2 years,Watching movies/series
98,BA LLB,Tamil Nadu,Female,2,Yes,Less than 4 hours,No,Nuclear Family,No,2,5,More than 1 year,Listening music
99,BA LLB,Tamil Nadu,Female,3,No,7-8 hours,No,Nuclear Family,Yes,4,5,More than 1 year,Listening music
100,BSc DS,Telangana,Male,5,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Other
101,BCom,Tamil Nadu,Male,4,Yes,4-6 hours,Yes,Nuclear Family,Yes,3,3,More than 1 year,Sports
103,MSc EA,Maharashtra,Female,4,No,Less than 4 hours,No,Nuclear Family,Yes,4,5,Less than 6 months,Listening music
104,MSc DS,Uttar Pradesh,Female,2,No,Less than 4 hours,No,Nuclear Family,No,4,3,Less than 6 months,Listening music
105,BCom,Kerala,Male,3,No,4-6 hours,No,Nuclear Family,Yes,4,3,More than 1 year,Sports
106,MSc DS,Telangana,Female,2,No,4-6 hours,No,Nuclear Family,Yes,5,4,Less than 6 months,Other
107,BBA LLB,Karnataka,Female,1,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Sleeping
108,BBA LLB,Karnataka,Female,4,No,Less than 4 hours,No,Nuclear Family,No,1,5,More than 1 year,Other
109,MBA,Telangana,Male,4,No,7-8 hours,No,Nuclear Family,No,4,3,More than 2 years,Listening music
110,MBA,Kerala,Male,1,No,Less than 4 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Listening music
111,MBA,Tamil Nadu,Male,5,No,4-6 hours,No,Joint Family,Yes,4,2,Less than 6 months,Other
112,MBA,Tamil Nadu,Female,4,No,4-6 hours,No,Nuclear Family,Yes,4,4,Less than 6 months,Sleeping
113,MBA,Kerala,Female,5,No,4-6 hours,No,Nuclear Family,No,4,2,Less than 6 months,Listening music
114,MSc EA,Karnataka,Female,4,No,4-6 hours,Yes,Nuclear Family,Yes,5,5,More than 1 year,Listening music
115,BBA LLB,Maharashtra,Female,2,No,7-8 hours,Yes,Nuclear Family,No,2,5,More than 2 years,Sleeping
116,BA LLB,Tamil Nadu,Female,5,No,4-6 hours,No,Joint Family,Yes,1,3,More than 2 years,Listening music
117,BSc DS,Kerala,Female,3,No,7-8 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Listening music
118,BBA LLB,Tamil Nadu,Female,2,No,More than 8 hours,No,Nuclear Family,Yes,1,4,More than 2 years,Sleeping
119,BBA LLB,Tamil Nadu,Female,3,No,7-8 hours,No,Joint Family,Yes,5,3,More than 1 year,Sleeping
120,BBA,Karnataka,Female,3,No,7-8 hours,No,Nuclear Family,Yes,5,5,More than 1 year,Listening music
121,BBA LLB,Tamil Nadu,Female,2,No,7-8 hours,No,Joint Family,Yes,5,4,More than 2 years,Listening music
122,BBA LLB,Kerala,Female,2,No,7-8 hours,No,Nuclear Family,Yes,2,5,Less than 6 months,Sleeping
123,BBA,Rajasthan,Male,3,No,7-8 hours,No,Nuclear Family,Yes,2,2,Less than 6 months,Watching movies/series
124,BA LLB,West Bengal,Female,2,Yes,7-8 hours,No,Nuclear Family,Yes,4,5,More than 2 years,Listening music
125,BBA LLB,Kerala,Female,3,Yes,4-6 hours,No,Nuclear Family,No,4,3,Less than 6 months,Listening music
126,BBA LLB,Kerala,Female,2,No,4-6 hours,No,Nuclear Family,Yes,1,4,More than 1 year,Other
127,MSc DS,Tamil Nadu,Male,3,No,4-6 hours,No,Nuclear Family,Yes,4,5,Less than 6 months,Listening music
128,MSc DS,West Bengal,Male,5,No,Less than 4 hours,No,Joint Family,Yes,1,1,Less than 6 months,Sports
129,MSc DS,West Bengal,Female,3,No,4-6 hours,No,Nuclear Family,Yes,5,3,More than 1 year,Listening music
130,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,Yes,4,5,More than 1 year,Meditation
131,MSc DS,West Bengal,Female,3,No,4-6 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Listening music
